base_appid,dlc_appid,name
2405270,3459440,Project Asteroids - Community Server
3445550,3448710,Hero World 2 Starter Kit DLC
3401890,3503240,The Seabed's Shining Star Production Notes
835570,3360640,Conqueror's Blade - Season Supply Pack
3358270,3360350,Galeid. - 衣装追加パック
3237980,3357440,dob - Invisible Challenge
2701700,3352570,Maestro : Secret Sorcery
1679060,2583510,Paper Nomad - Master Edition
2275560,2571870,Westview Academy - Season 1 Walkthrough
1735670,2557340,rote² - Full Version
2332550,2552280,Monster Lover 1: Strategy Guide
1434540,2550260,Zoeti - Art Book
1244090,2550500,Sea of Stars - Digital Artbook
2096220,2548630,Last Chance in Xollywood - Special Edition
2515540,2545440,Battle Of Tarlis - Gold Boost 2x
1109680,2542770,Regiments - Winds of Change
2502680,2539530,Huxla Dungeon III - The Strategy Book
2192620,2538470,ghostpia Season One - Art book
2097890,2534270,Skull Island: Rise of Kong Colossal Pack
2109390,2532960,Overboss - Supporter Pack
2164630,2533110,Breathe With You - Additional All-Ages Story & Graphics DLC
1538900,2524730,Untamed Tactics - Humblewood Edition
2002880,2517660,Rhapsody III: Memories of Marl Kingdom - Art Book
2517860,2517930,JustWatchMyCat - Support
2515180,2516730,調教カテイ～性開発された肢体は元カレを忘れられない～ デラックスパック
1646180,2510700,Succubus Runa and the Erotic Dungeon - Additional All-Ages Story & Graphics DLC
1927440,2500390,VR TRIBES: THE VR EDITION
2741070,3215540,"I'll be Brave, Tomorrow - Artbook"
1454960,3215900,Dark Sky - Art Supporter Pack
3160280,3197500,HALLOWEEN girls - Free 18+ DLC
2746710,3194920,Error 259: Blood & Bombs DLC
799640,3185730,Dungeon Munchies Japanese Voice Pack
2325720,3182040,Cyber mission - Full armor
2343600,3180540,Endgame of Devil-Supporter Pack: Monster Girl
1503400,3163270,Temporal Purge: Z - Premium Supporters Pack
1587130,3158590,Blood West: Dead Man’s Promise
721180,3153680,Dustborn - The Vision Tour Bundle
1508570,2107850,Summer~Life in the Countryside~ +Outing
1996210,2106850,Sakura Hime 3 - 18+ Adult Only Content
1733060,2099870,Ever Seen a Cat? - Paper Edition + Wallpapers
2090040,2098850,Odium: Support the developer & Achievements
1227280,2089800,Despot's Game - Challenges
1653160,2085060,Nemesis - Class Pack
2021410,2080730,Make Love Not War - 18+ Content
1934930,2076370,Conquest Emperor - H DLC(free)
1496790,2074431,Gotham Knights: Visionary Pack
1851060,2063360,Mysteria of the World: The forest of Death Artbook
1995800,2061080,Zodiac fantasy - adult patch
1640320,2060270,Warlock character for B.I.O.T.A.
2025420,2058440,Meet Cute: Beach - 18+ Adult Only Patch
1990400,2056600,Tales of Agaris - Children of Fate
1868170,2054910,Etrian Odyssey II HD Character Set DLC
585020,2053810,Big Bia - 外星异能卡组
1201270,2050830,A Space for the Unbound Artbook
2010370,2022630,The True Love Rings-Patch
