appid,name,release_date,copiesSold
3294880,不安ごと,Coming soon,30
3507980,Hard Wheelchair,Coming soon,30
3404670,The Night of Escape,Coming soon,30
3400820,Leap Of Faith,Coming soon,30
3464700,Lord Of Island,Coming soon,30
3491710,WobblePop,Coming soon,30
3491710,WobblePop,Coming soon,30
2810770,Realmweaver,Coming soon,30
3352070,HOLE: Bottomless,Coming soon,30
3300280,Bio Blast,Coming soon,30
3300280,Bio Blast,Coming soon,30
3492030,The Tower,Coming soon,29
3504460,Raiders of the Apocalypse,To be announced,28
3464180,Reinbo,Coming soon,28
3464180,Reinbo,Coming soon,28
3133790,Swingers,Coming soon,28
3453290,My Gambian Boyfriend,Coming soon,28
1836980,Fortune & Famine,Coming soon,27
3133270,Totally Defenceless,Coming soon,27
3334830,Let's Get Larry a Haircut,Coming soon,27
3334830,Let's Get Larry a Haircut,Coming soon,27
2737680,Blast Hopper,Coming soon,27
3369010,Error Loop,Coming soon,27
3148130,Caelum's Crux,Coming soon,26
3168200,Subzero Stealth,Coming soon,26
3168200,Subzero Stealth,Coming soon,26
3041720,Gooing Up!,Coming soon,26
2924010,Suit Up,Coming soon,25
3120910,The Little Moon,Coming soon,25
2950760,EXIT16: Byilhan Hotel,Coming soon,25
3482100,A Night With: SuperHero,Coming soon,25
2957270,Three Bulky Bears,Coming soon,24
3393450,Timeloop Titans,Coming soon,24
2405730,NMO - No More Operators,To be announced,24
1839710,Alchemists,Coming soon,24
3145810,The medical examination diary: Teamwork in Paradise.,To be announced,24
3316800,Idle Heroes Clicker,Coming soon,24
3316800,Idle Heroes Clicker,Coming soon,24
3286810,Lana Longbeard And The Golden Stacks - Prologue,Coming soon,24
3359440,Soko Spectacle,Coming soon,24
3360880,Spirit Driver,Coming soon,24
3209110,River of Time Yarn,Coming soon,24
3301870,Hydra Hide Land,Coming soon,24
3301870,Hydra Hide Land,Coming soon,24
3489380,DaihaoY,Coming soon,23
3301160,Goblin Assault: Tower Defense,Coming soon,22
3301160,Goblin Assault: Tower Defense,Coming soon,22
3461220,MonsterEnd,Coming soon,22
3461220,MonsterEnd,Coming soon,22
3179720,Voices in the Dark,To be announced,21
3409570,Bricks Smasher,Coming soon,21
3486160,Critical Point,Coming soon,20
2859510,Chromatrix - Tower Defense,Coming soon,19
3480430,Stair Tap,Coming soon,19
2949440,与从画面中出来的我推Vtuber的同居生活 想跟庶民派的吸血鬼大小姐签下契约,Coming soon,18
2949450,从画面中出来的我推Vtuber的同居生活 ～梦魔可爱ASMR主播是地雷系？～,Coming soon,18
3415100,Gem Tales,Coming soon,18
2843810,Starborn Survivor,Coming soon,18
2900660,THE DISORDER,To be announced,18
3304710,Potion Shopkeeper Simulator,Coming soon,17
3304710,Potion Shopkeeper Simulator,Coming soon,17
3404110,Move Dash Rush,Coming soon,17
2790770,Forest - The Call For Help,Coming soon,16
3460680,WonderLang Italian,Coming soon,15
3460680,WonderLang Italian,Coming soon,15
3411540,Station,Coming soon,15
3365120,Doomsday Tower Defense,Coming soon,15
